company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Recruitment Smart,Data Analyst,5,Ahmedabad,0,Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
StatusNeo Technology Consulting,Data Scientist,4,Gurgaon,501996,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,3.9,4,3.8,3.8
Marktine Technology Solutions,Process Developer– Data Analyst,4.2,Remote,0,Unknown,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),4,3.7,4.1,4.1,4.3
Halliburton,"Tech Prof-Data Science, Assoc",3.7,Bengaluru,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
KBR,Data Analyst,3.9,Gurgaon,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Emerson,Supply Chain Data Analyst,3.9,Pune,482377,/yr (est.),10000+ Employees,1890,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.4,3.9,3.5,3.8
Lendingkart,Manager - MIS & Data Analysis,3.9,India,0,Unknown,201 to 500 Employees,2014,Company - Private,Banking & Lending,Banking & Lending,Unknown / Non-Applicable,3.9,3.9,3.7,3.4,3.4
Klub Works,E-Commerce Data Analyst,,Ahmedabad,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
METRIO,Business Analyst,4,Bengaluru,594298,/yr (est.),1001 to 5000 Employees,1971,Company - Public,Stock Exchanges,Stock Exchanges,$2 to $5 billion (USD),3.8,3.8,4.1,3.9,4
Accenture,Finance Process & Ops Associate - Finance Data Maintenance,4,Bengaluru,0,Unknown,10000+ Employees,1989,Company - Public,Business Consulting,Business Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
UBS,Data Management Analyst,3.9,Pune,682367,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Dolby,Data Scientist,4.1,Bengaluru,0,Unknown,1001 to 5000 Employees,1965,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$2 to $5 billion (USD),3.6,3.7,4,3.5,4.2
Magic Infomedia,Data Mining,,Delhi,0,Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
GUJARAT FLUOROCHEMICALS,Data Scientist,4.3,Noida,591502,/yr (est.),1001 to 5000 Employees,Unknown,Company - Private,Chemical Manufacturing,Chemical Manufacturing,$10+ billion (USD),4.2,4,4,3.8,3.9
Elsevier,Senior Data Analyst I,4.5,Chennai,666813,/yr (est.),5001 to 10000 Employees,1880,Subsidiary or Business Segment,Publishing,Publishing,$2 to $5 billion (USD),4.1,4.2,4.5,4,4.6
Resource Solutions,Operational Data Analyst,4.2,Hyderābād,405625,/yr (est.),501 to 1000 Employees,1997,Subsidiary or Business Segment,HR Consulting,HR Consulting,Unknown / Non-Applicable,4.1,3.9,4.2,4.1,4.1
B. M. Infotrade Pvt. Ltd.,Data Analyst Intern,,Jaipur,125000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Affine,Data Analyst,4.8,Bengaluru,480625,/yr (est.),1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.6,3.9,4.8,4.4,4.3
MathCo,Senior Associate - Data Science,3.5,Bengaluru,876519,/yr (est.),1001 to 5000 Employees,2016,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.6,3.4,3.6,3.2,2.9
Larsen & Toubro,Data Analyst,3.5,Chennai,650000,/yr (est.),10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology Support Services,$500 million to $1 billion (USD),3.4,2.9,3.4,3.1,3.4
NeoStats,Data Modeler,,Bengaluru,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
NeoStats,Data Scientist,,Bengaluru,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Lilly,Data Scientist - 1st Party Data,4.1,Bengaluru,880909,/yr (est.),10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3.7,3.9,4,3.6,3.9
Cityinfo Services,DATA ANALYST,3.9,Bengaluru,322490,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4,3.9,3.9,4.1,4
Navikenz,Data Scientist,,India,0,Unknown,51 to 200 Employees,2021,Company - Private,Business Consulting,Business Consulting,$1 to $5 million (USD),4.5,3.9,4.5,4.5,4.5
JPMorgan Chase & Co,Client Data Specialist IV,4,Hyderābād,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Yara,Associate Data Engineer R&D (Contract),4.2,Bengaluru,659950,/yr (est.),10000+ Employees,1905,Company - Public,Chemical Manufacturing,Chemical Manufacturing,$10+ billion (USD),3.8,3.9,4.3,3.6,4.2
Advent InfoSoft Pvt Ltd,Data Management Executive,2.6,Delhi,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,2.6,3.1,2.6,3.1,2.6
SourceMash Technologies,Data Analyst/Power BI,3.2,Mohali,406940,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.4,3.1,3.1,3.1,3.3
Litmus7,Data Engineer,4.7,Cochin,724900,/yr (est.),501 to 1000 Employees,2009,Company - Private,Information Technology Support Services,Information Technology Support Services,$25 to $50 million (USD),4.4,4.1,4.7,4.5,4.5
Confluent,Data Scientist II,3.7,India,0,Unknown,1001 to 5000 Employees,2014,Company - Public,Computer Hardware Development,Computer Hardware Development,$500 million to $1 billion (USD),3.6,4.2,3.6,3.1,3.5
Mastercard,Data Engineer II,4.3,Pune,203995,/yr (est.),10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Transaction Processing,Unknown / Non-Applicable,4.2,4.2,4.4,4,4.3
E2E Infoware Management Services,Data Scientist,,Chennai,536656,/yr (est.),51 to 200 Employees,2003,Company - Private,Unknown,Unknown,$10+ billion (USD),4.7,4.7,5,4.7,4.7
Addepar,Market Data Analyst (Pune),4.2,Pune,420887,/yr (est.),501 to 1000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4,4.2,4,3.3,4
Nuware Systems,Analyst - Data Science,4.2,Bengaluru,821380,/yr (est.),51 to 200 Employees,1994,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),3.9,3.8,4.2,4,4.4
Schbang Digital Solutions,Business Analyst,3.8,Bengaluru,274542,/yr (est.),1001 to 5000 Employees,2015,Company - Private,Advertising & Public Relations,Advertising & Public Relations,Unknown / Non-Applicable,4,3.2,3.9,3.5,3.4
G2,Data Scientist II,4.5,Bengaluru,701282,/yr (est.),501 to 1000 Employees,2012,Company - Private,Internet & Web Services,Internet & Web Services,$100 to $500 million (USD),4.4,4,4.7,4.4,4.6
Creative Synergies Group,Data Analyst-Power BI,3.8,Bengaluru,761723,/yr (est.),1001 to 5000 Employees,2011,Company - Private,Software Development,Software Development,Unknown / Non-Applicable,3.9,3.6,3.8,3.9,3.8
VMAKS Constructions,Data Entry Operator,,Gurgaon,17500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
ICON,Data & Reporting Analyst II,3.8,Chennai,909945,/yr (est.),10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.6,3.5,3.7,3.4,3.7
JPMorgan Chase & Co,Data Quality Associate,4,Hyderābād,640045,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
NielsenIQ,Data Processing Analyst,3.9,Chennai,360000,/yr (est.),10000+ Employees,1923,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.6,3.3,4.1,3.6,3.7
Maruti Suzuki India Ltd,Data Scientist,3.9,Delhi,0,Unknown,10000+ Employees,Unknown,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.7,4,3.4,3.3,3.1
Blinkyard Infotech,Data Entry,3.1,Bengaluru,158291,/yr (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,3.1,3.1,3.1,3.1,3.1
SE-Mentor Solutions,Data Analyst,,Cochin,264244,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.3,3,4.4,4.2,4.6
Firebucks,Data Modeler,,Bengaluru,443293,/yr (est.),1 to 50 Employees,2015,Private Practice / Firm,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,5,4,5,5,4
Heads Up For Tails,Inventory Manager- Data Analyst,4.3,Bengaluru,690600,/yr (est.),1001 to 5000 Employees,2008,Company - Private,Pet & Pet Supplies Stores,Pet & Pet Supplies Stores,Unknown / Non-Applicable,4,3.7,3.9,3.8,3.8
Amnet Digital,Data Scientist,4,Hyderābād,438887,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.1,3.7,3.9,3.9,3.9
The Bridgespan Group,Platform & Data Associate,4.2,Mumbai,1400000,/yr (est.),201 to 500 Employees,2000,Non-profit Organisation,"Civic, Welfare & Social Services","Civic, Welfare & Social Services",$25 to $50 million (USD),4.2,4.2,4.3,3.8,3.5
Deloitte,Enabling Areas - Data Scientist - AM/DM,4.1,Delhi,0,Unknown,10000+ Employees,1850,Company - Private,Accounting & Tax,Accounting & Tax,Unknown / Non-Applicable,4.1,4,4.1,3.8,3.3
Nestle Operational Services Worldwide SA,Data Engineer,4.1,Bengaluru,499919,/yr (est.),10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Food & Beverage Manufacturing,$10+ billion (USD),3.9,3.9,4.1,3.7,3.7
Coforge Ltd.,DATA ANALYST - SAS,3.6,Greater Noida,781721,/yr (est.),10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology Support Services,$500 million to $1 billion (USD),3.4,3.3,3.5,3.2,3.5
Motive,Data Engineer,4,Bengaluru,616344,/yr (est.),1001 to 5000 Employees,2013,Company - Private,Software Development,Software Development,Unknown / Non-Applicable,3.9,3.9,4.1,3.7,4
DataEconomy,AWS Data Engineer,4.7,Hyderābād,852614,/yr (est.),201 to 500 Employees,2018,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.7,3.9,4.5,4.7,3.9
"Medpace, Inc.",Junior/ Associate Data Manager,3.4,Thāne,589237,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
VINAYAGA ENTERPRISES,Data Entry Officer,,Chennai,25250,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
ADCI - Haryana,"Data Associate I (French), ML Data Ops",3.7,Gurgaon,317332,/yr (est.),10000+ Employees,1994,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
Innovative Incentives,MIS & Data Analysts,3.3,Mohali,406940,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.3,2.9,2.9,2.8,3.2
Cellworks Research India,Data Scientist,,Bengaluru,509747,/yr (est.),51 to 200 Employees,2005,Company - Private,Research & Development,Research & Development,Unknown / Non-Applicable,3.3,3.5,3.3,3.2,2.9
